                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0665,                 2.4894,                 1.3478,                0.90142,                0.61842,                0.75325,                0.51943,                 1.0608,                 2.1453,                 1.4408,                0.00046,                0.00046,                0.00046
                      2,                 1.0468,                 2.1367,                 1.3572,                0.83273,                 0.7861,                 0.7946,                0.55458,                 1.0504,                 1.3923,                 1.4474,             0.00093977,             0.00093977,             0.00093977
                      3,                 1.0037,                 1.6658,                 1.2923,                0.89328,                0.77102,                0.82672,                0.58477,                 1.0177,                 1.0344,                 1.4233,              0.0014186,              0.0014186,              0.0014186
                      4,                 1.1171,                 1.4915,                   1.38,                0.82967,                0.81579,                0.83731,                0.59554,                 1.0326,                0.96221,                 1.4067,              0.0018958,              0.0018958,              0.0018958
                      5,                 1.1062,                  1.401,                 1.3628,                0.83031,                0.83703,                0.84482,                0.59834,                 1.0523,                0.88524,                 1.3987,              0.0019922,              0.0019922,              0.0019922
                      6,                 1.1136,                 1.3392,                 1.3527,                0.83534,                0.82895,                0.85035,                0.59914,                 1.0691,                0.84245,                 1.3968,              0.0019922,              0.0019922,              0.0019922
                      7,                 1.1096,                  1.312,                 1.3577,                0.84779,                0.80618,                0.84437,                0.59512,                 1.0717,                0.85199,                 1.3645,              0.0019878,              0.0019878,              0.0019878
                      8,                 1.1353,                 1.3855,                 1.3885,                0.89226,                0.76279,                0.85505,                0.60343,                 1.0711,                0.85039,                 1.3629,              0.0019825,              0.0019825,              0.0019825
                      9,                 1.0708,                 1.2617,                 1.3226,                0.89919,                   0.75,                0.85951,                0.59887,                 1.0695,                0.81091,                 1.3615,              0.0019762,              0.0019762,              0.0019762
                     10,                 1.1195,                 1.3801,                 1.3786,                 0.8493,                0.77632,                0.85288,                0.60731,                 1.0421,                0.83738,                 1.3304,              0.0019689,              0.0019689,              0.0019689
                     11,                 1.1707,                 1.3547,                  1.401,                0.85086,                0.75069,                 0.8423,                0.59553,                0.99591,                0.84095,                 1.3004,              0.0019607,              0.0019607,              0.0019607
                     12,                 1.0135,                 1.2486,                  1.309,                0.86099,                0.77632,                0.85128,                0.60188,                 1.0223,                0.78952,                  1.332,              0.0019515,              0.0019515,              0.0019515
                     13,                 1.0658,                 1.1996,                 1.3164,                0.88186,                0.78947,                0.85144,                0.60595,                 1.0413,                0.76958,                 1.3676,              0.0019415,              0.0019415,              0.0019415
                     14,                 1.0561,                 1.1719,                 1.3061,                0.90102,                   0.75,                0.84849,                0.60724,                  1.037,                0.82939,                 1.3835,              0.0019305,              0.0019305,              0.0019305
                     15,                 1.1231,                 1.3148,                 1.3973,                0.88445,                0.77632,                  0.855,                 0.6127,                 1.0202,                0.79132,                 1.3479,              0.0019186,              0.0019186,              0.0019186
                     16,                 1.0614,                 1.1868,                   1.33,                0.89505,                0.78557,                0.84254,                0.59022,                   1.04,                0.78748,                 1.3633,              0.0019058,              0.0019058,              0.0019058
                     17,                 1.0474,                 1.2035,                 1.3159,                0.89208,                0.76141,                0.83762,                0.59755,                 1.0579,                0.80147,                 1.3655,              0.0018921,              0.0018921,              0.0018921
                     18,                 1.1022,                 1.2677,                 1.3624,                0.89087,                0.75191,                0.84956,                0.60578,                 1.0576,                0.78999,                 1.3602,              0.0018775,              0.0018775,              0.0018775
                     19,                 1.1393,                 1.2978,                 1.4098,                0.91622,                0.76316,                 0.8529,                0.61568,                 1.0399,                 0.7809,                 1.3443,              0.0018621,              0.0018621,              0.0018621
                     20,                 1.0427,                 1.1958,                 1.3113,                0.89542,                0.77632,                0.85261,                0.61187,                 1.0431,                0.79751,                 1.3565,              0.0018459,              0.0018459,              0.0018459
                     21,                 1.0703,                 1.2218,                  1.343,                0.89029,                0.76316,                0.85517,                0.61785,                 1.0511,                 0.7746,                 1.3701,              0.0018288,              0.0018288,              0.0018288
                     22,                 1.0907,                  1.171,                 1.3614,                0.85344,                0.78947,                 0.8586,                0.61921,                 1.0515,                0.75997,                 1.3698,              0.0018109,              0.0018109,              0.0018109
                     23,                 1.0736,                 1.2149,                 1.3584,                0.88454,                0.77632,                0.85641,                0.62579,                 1.0516,                0.74188,                 1.3797,              0.0017923,              0.0017923,              0.0017923
                     24,                 1.0754,                 1.1656,                 1.3352,                0.80854,                0.80263,                0.84994,                0.61374,                 1.0332,                0.78665,                 1.3559,              0.0017728,              0.0017728,              0.0017728
                     25,                 1.0914,                 1.1936,                 1.3338,                0.84707,                0.80263,                0.84353,                0.61084,                  1.026,                0.80791,                 1.3472,              0.0017526,              0.0017526,              0.0017526
                     26,                 1.0135,                 1.1418,                 1.3039,                0.86055,                0.77632,                0.84558,                0.61467,                 1.0275,                0.79763,                 1.3434,              0.0017317,              0.0017317,              0.0017317
                     27,                 1.1025,                 1.1541,                 1.3487,                0.84974,                0.76316,                0.84696,                0.62188,                 1.0319,                0.77089,                 1.3557,                0.00171,                0.00171,                0.00171
                     28,                 1.0766,                 1.1859,                 1.3681,                0.86008,                   0.75,                0.83301,                0.60678,                 1.0364,                0.79521,                 1.3652,              0.0016877,              0.0016877,              0.0016877
                     29,                 1.0405,                 1.1708,                 1.2971,                0.80571,                0.78947,                0.83485,                0.61081,                  1.035,                0.81834,                 1.3602,              0.0016647,              0.0016647,              0.0016647
                     30,                 1.0815,                 1.1418,                  1.332,                0.84446,                0.78586,                0.84296,                0.61237,                 1.0351,                0.80413,                 1.3562,               0.001641,               0.001641,               0.001641
                     31,                 1.0418,                 1.1038,                 1.2936,                0.75146,                0.82895,                0.85185,                0.60603,                 1.0392,                0.80805,                 1.3548,              0.0016168,              0.0016168,              0.0016168
                     32,                 1.0153,                 1.1957,                 1.3435,                0.87258,                0.77632,                0.85094,                0.60585,                 1.0418,                0.80107,                 1.3548,              0.0015919,              0.0015919,              0.0015919
                     33,                 1.0177,                 1.1852,                 1.3222,                0.86316,                0.74701,                0.82511,                0.58994,                 1.0452,                0.84097,                 1.3508,              0.0015665,              0.0015665,              0.0015665
                     34,                 1.0921,                 1.1932,                 1.3579,                0.79724,                0.78947,                 0.8226,                0.59548,                 1.0359,                0.82195,                 1.3541,              0.0015405,              0.0015405,              0.0015405
                     35,                 1.0651,                 1.1356,                 1.3534,                0.86936,                0.78809,                0.83705,                0.59704,                 1.0551,                0.76906,                 1.3746,               0.001514,               0.001514,               0.001514
                     36,                0.95106,                 1.0756,                 1.2571,                 0.8531,                0.76412,                0.83504,                0.59344,                 1.0716,                0.77005,                 1.3966,              0.0014869,              0.0014869,              0.0014869
                     37,                  1.056,                 1.1654,                 1.3381,                0.80265,                0.78947,                0.83244,                0.59373,                 1.0575,                0.81822,                 1.3825,              0.0014595,              0.0014595,              0.0014595
                     38,                 1.0373,                 1.1377,                 1.3067,                0.82438,                0.78947,                0.84096,                0.59708,                 1.0548,                0.80945,                 1.3766,              0.0014315,              0.0014315,              0.0014315
                     39,                 1.0132,                 1.0939,                 1.2816,                0.89901,                   0.75,                0.85199,                0.60909,                 1.0521,                0.75554,                 1.3779,              0.0014032,              0.0014032,              0.0014032
                     40,                 1.0394,                 1.1704,                 1.3447,                0.88182,                0.78552,                0.85381,                0.61011,                 1.0502,                0.76598,                 1.3758,              0.0013744,              0.0013744,              0.0013744
                     41,                  0.982,                 1.1304,                 1.2615,                 0.8927,                0.76631,                0.85379,                0.61952,                 1.0503,                0.75652,                 1.3756,              0.0013454,              0.0013454,              0.0013454
                     42,                 1.0233,                 1.0941,                 1.3078,                0.87899,                0.76463,                 0.8493,                0.61337,                 1.0394,                0.75827,                 1.3606,              0.0013159,              0.0013159,              0.0013159
                     43,                 1.0107,                 1.0708,                 1.3057,                0.83813,                0.78947,                0.84653,                0.61412,                 1.0309,                0.76061,                 1.3433,              0.0012862,              0.0012862,              0.0012862
